0 	 2.3388879597691377,8.0;2.791854258790961,9.0;3.6564661141531416,9.0;4.465659268437104,6.0;5.471712697256984,6.0;6.501447110869159,5.0;
1 	 3.228448424502054,8.0;3.301726595976865,9.0;3.8030548743079535,9.0;4.386575776963432,6.0;5.222271552022662,6.0;6.144179495352526,5.0;
2 	 2.2188999488888728,9.0;2.2279174182342607,9.0;2.562510837644848,8.0;2.971856082819275,6.0;3.5176330335819115,6.0;4.431074106272996,5.0;
3 	 2.2857089510514537,9.0;2.4256455778049175,6.0;2.4782313429552483,9.0;3.020405621695397,8.0;3.0477352181868373,6.0;3.841745391610849,5.0;
4 	 2.31913889897821,6.0;2.526169591493975,9.0;2.571895064773583,6.0;2.834865054527217,5.0;3.315792421508128,9.0;4.015590366095114,8.0;
5 	 3.63825081690216,6.0;3.7009812572275007,6.0;3.9402014480804954,9.0;4.012390322093239,9.0;4.106392165957545,5.0;4.537189067251132,9.0;
6 	 2.1923564249073957,5.0;2.348592878380771,6.0;2.9157902361774877,9.0;2.993021712645028,5.0;3.1681603369267566,6.0;3.766128443455074,9.0;
7 	 3.227379962944701,9.0;3.6850808147013963,10.0;3.780107848639298,5.0;4.12177294834189,5.0;4.244784286127157,6.0;4.532010466202822,6.0;
8 	 2.633612082869293,5.0;2.9631900139161074,10.0;3.0664291583754677,9.0;3.2985495469395567,8.0;3.3329489932129817,5.0;3.9427931172598774,6.0;
9 	 2.0408251079234714,5.0;2.043937307838936,8.0;2.2732600326113332,10.0;2.8060896721976496,5.0;3.0381770766862375,9.0;3.4773348051950452,2.0;
10 	 2.7650913280736855,5.0;2.7706936798997632,10.0;2.981944369109914,8.0;3.351872494605206,2.0;3.472994593310962,5.0;3.8609532411696765,9.0;
11 	 2.8548212466203844,5.0;3.002554696217883,2.0;3.3035437357976325,8.0;3.445388176968797,10.0;3.620634006741105,10.0;4.098938494270993,7.0;
12 	 2.3166717248270516,2.0;2.43640580360202,5.0;2.546579629569949,10.0;2.9614186069266553,8.0;3.2156146050677856,7.0;3.9053820568954816,6.0;
13 	 2.5408631321869612,10.0;2.8639760769328997,2.0;3.126331395046682,7.0;3.3108474252062754,5.0;3.451939493707627,6.0;4.024851321163625,8.0;
14 	 2.7117690733490636,10.0;2.894923571454194,7.0;2.9671562492623016,6.0;3.3087536571165574,8.0;3.3153677519203546,2.0;3.9549947832018777,4.0;
